"filename", "language", "Markdown", "Python", "YAML", "HTML", "Docker", "pip requirements", "Shell Script", "TypeScript", "JSON with Comments", "JSON", "TypeScript JSX", "CSS", "XML", "Properties", "JavaScript", "CSV", "comment", "blank", "total"
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\channels-bot\Dockerfile", "Docker", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\channels-bot\cleanup_worker.py", "Python", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\channels-bot\main.py", "Python", 0, 291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14, 311
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\channels-bot\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\docker-compose.yml", "YAML", 0, 0, 238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 256
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter-bot\Dockerfile", "Docker", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter-bot\main.py", "Python", 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 141
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter-bot\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\Dockerfile", "Docker", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\db.py", "Python", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\Dockerfile", "Docker", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 17
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\README.md", "Markdown", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 55
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 2, 29
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\nginx.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 7, 34
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4226, 0, 0, 0, 0, 0, 0, 0, 1, 4227
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 6, 43
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 34
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\src\api\filters.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 30
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\src\channelNames.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 8
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\src\components\ChannelFilters.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 8, 96
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\src\components\FilterForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 7, 78
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\src\components\LoginForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 6, 50
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 8, 69
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\src\pages\LoginPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\src\pages\MainPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 10, 108
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
