"filename", "language", "Python", "Markdown", "YAML", "HTML", "pip requirements", "Docker", "Shell Script", "Properties", "JSON", "JSON with Comments", "TypeScript JSX", "TypeScript", "CSS", "XML", "JavaScript", "CSV", "comment", "blank", "total"
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\channels-bot\Dockerfile", "Docker", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\channels-bot\cleanup_worker.py", "Python", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16, 129
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\channels-bot\main.py", "Python", 317, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 15, 343
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\channels-bot\requirements.txt", "pip requirements", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\docker-compose.yml", "YAML", 0, 0, 240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 258
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter-bot\Dockerfile", "Docker", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter-bot\main.py", "Python", 301, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 20, 337
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter-bot\requirements.txt", "pip requirements", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\Dockerfile", "Docker", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\db.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
